,Portfolio_Returns,ExRm,SMB,HML,rf,MOM,Stim_Portfolio_Returns,USREC
1995-05-31,-0.0792696,0.029,-0.0255,0.0229,0.0054,-0.0042,-0.0846696,0
1995-06-30,-0.028017200000000016,0.0272,0.0318,-0.0254,0.0047,0.0293,-0.032717200000000016,0
1995-07-31,0.012975600000000002,0.0372,0.0207,-0.0162,0.0045,0.0256,0.008475600000000003,0
1995-08-31,-0.044374000000000004,0.0055,0.0135,0.0279,0.0047,0.0016,-0.049074000000000007,0
1995-09-30,-0.056881600000000004,0.0335,-0.022,-0.0004,0.0043,0.029,-0.0611816,0
1995-10-31,0.015269000000000008,-0.0152,-0.0378,-0.005,0.0047,0.0416,0.010569000000000009,0
1995-11-30,-0.02518919999999998,0.0396,-0.0109,0.0051,0.0042,-0.0068,-0.02938919999999998,0
1995-12-31,-0.045395999999999985,0.0103,0.007,0.0022,0.0049,0.0252,-0.05029599999999999,0
1996-01-31,0.07462959999999999,0.0226,-0.0273,0.0038,0.0043,0.0054,0.07032959999999999,0
1996-02-29,-0.01870400000000002,0.0133,0.0179,-0.0108,0.0039,0.0059,-0.02260400000000002,0
1996-03-31,0.01570459999999998,0.0073,0.0149,0.0035,0.0039,-0.0184,0.011804599999999978,0
1996-04-30,-0.0366892,0.0206,0.0523,-0.0402,0.0046,-0.0088,-0.0412892,0
1996-05-31,0.0533688,0.0236,0.0317,-0.0083,0.0042,0.0154,0.0491688,0
1996-06-30,-0.05121059999999998,-0.0114,-0.0401,0.0235,0.004,0.0098,-0.055210599999999985,0
1996-07-31,-0.01525599999999996,-0.0597,-0.0431,0.0514,0.0045,-0.0016,-0.01975599999999996,0
1996-08-31,0.03451480000000002,0.0277,0.0244,-0.0074,0.0041,0.0001,0.03041480000000002,0
1996-09-30,-0.04732080000000001,0.0501,-0.0098,-0.0272,0.0044,0.027,-0.05172080000000001,0
1996-10-31,-0.0017368333333333324,0.0086,-0.0444,0.0494,0.0042,0.0379,-0.005936833333333332,0
1996-11-30,-0.055777166666666635,0.0625,-0.0402,0.0139,0.0041,-0.0237,-0.059877166666666634,0
1996-12-31,0.010875333333333336,-0.017,0.0316,0.0131,0.0046,0.0063,0.006275333333333336,0
1997-01-31,0.03636660000000003,0.0499,-0.0195,-0.0142,0.0045,0.0196,0.03186660000000003,0
1997-02-28,0.013374333333333332,-0.0049,-0.0322,0.0567,0.0039,-0.0213,0.009474333333333331,0
1997-03-31,-0.06455099999999997,-0.0503,-0.0036,0.0339,0.0043,0.009,-0.06885099999999997,0
1997-04-30,-0.057375000000000016,0.0404,-0.0577,0.0007,0.0043,0.0484,-0.061675000000000015,0
1997-05-31,0.005887833333333332,0.0674,0.0519,-0.0413,0.0049,-0.0517,0.0009878333333333319,0
1997-06-30,0.1229888333333333,0.041,0.0122,0.0158,0.0037,0.026,0.1192888333333333,0
1997-07-31,-0.04440566666666665,0.0733,-0.0274,0.0026,0.0043,0.0377,-0.04870566666666665,0
1997-08-31,-0.023827833333333336,-0.0415,0.0728,0.0118,0.0041,-0.0256,-0.027927833333333336,0
1997-09-30,0.08726233333333333,0.0535,0.0253,0.0037,0.0044,0.0147,0.08286233333333333,0
1997-10-31,-0.044540333333333335,-0.038,-0.0074,0.0227,0.0042,-0.0057,-0.04874033333333334,0
1997-11-30,-0.08451650000000002,0.0298,-0.0511,0.0119,0.0039,0.0033,-0.08841650000000002,0
1997-12-31,-0.01934249999999998,0.0132,-0.0249,0.0384,0.0048,0.0398,-0.02414249999999998,0
1998-01-31,-0.008284166666666664,0.0015,-0.0106,-0.0163,0.0043,0.0014,-0.012584166666666664,0
1998-02-28,0.06987166666666664,0.0704,0.0032,-0.0085,0.0039,-0.0112,0.06597166666666664,0
1998-03-31,-0.008041166666666672,0.0476,-0.0114,0.0139,0.0039,0.0215,-0.011941166666666673,0
1998-04-30,0.1367081666666667,0.0073,0.0007,0.0094,0.0043,0.0074,0.1324081666666667,0
1998-05-31,-0.08913216666666668,-0.0307,-0.0336,0.034,0.004,0.0182,-0.09313216666666668,0
1998-06-30,0.04036783333333331,0.0318,-0.032,-0.0197,0.0041,0.0728,0.03626783333333331,0
1998-07-31,-0.088086,-0.0246,-0.0492,-0.0178,0.004,0.0369,-0.092086,0
1998-08-31,-0.3386781666666666,-0.1608,-0.057,0.0353,0.0043,0.0184,-0.34297816666666664,0
1998-09-30,-0.02943083333333335,0.0615,0.001,-0.0342,0.0046,-0.0081,-0.03403083333333335,0
1998-10-31,-0.028000999999999995,0.0713,-0.0312,-0.0223,0.0032,-0.0537,-0.031200999999999996,0
1998-11-30,0.0026560000000000056,0.061,0.0122,-0.0325,0.0031,0.012,-0.0004439999999999943,0
1998-12-31,-0.0178064,0.0616,-0.005,-0.0419,0.0038,0.0892,-0.0216064,0
1999-01-31,-0.013231166666666665,0.035,0.0076,-0.046,0.0035,0.0303,-0.016731166666666665,0
1999-02-28,0.028446499999999982,-0.0408,-0.0609,0.0192,0.0035,-0.001,0.024946499999999983,0
1999-03-31,-0.11068966666666664,0.0345,-0.0379,-0.0274,0.0043,-0.0127,-0.11498966666666664,0
1999-04-30,0.004878749999999973,0.0433,0.0391,0.0246,0.0037,-0.0904,0.0011787499999999732,0
1999-05-31,0.010081499999999986,-0.0246,0.0334,0.0235,0.0034,-0.0519,0.006681499999999986,0
1999-06-30,0.0471126,0.0477,0.0309,-0.0319,0.004,0.0506,0.0431126,0
1999-07-31,-0.067447,-0.0349,0.026,-0.0044,0.0038,0.0166,-0.07124699999999999,0
1999-08-31,-0.052464333333333335,-0.0138,-0.0094,-0.0187,0.0039,0.0312,-0.056364333333333336,0
1999-09-30,0.0038536000000000473,-0.0279,0.0341,-0.035,0.0039,0.0647,-4.6399999999952556e-05,0
1999-10-31,-0.05519740000000005,0.0612,-0.0664,-0.0337,0.0039,0.055,-0.05909740000000005,0
1999-11-30,-0.03458480000000001,0.0337,0.072,-0.0611,0.0036,0.0564,-0.03818480000000001,0
1999-12-31,-0.21690549999999997,0.0772,0.0702,-0.0832,0.0044,0.1322,-0.22130549999999996,0
2000-01-31,0.06692633333333334,-0.0474,0.0579,-0.0191,0.0041,0.0192,0.06282633333333333,0
2000-02-29,0.09251775,0.0245,0.2142,-0.097,0.0043,0.182,0.08821775,0
2000-03-31,0.14054466666666668,0.052,-0.1723,0.0817,0.0047,-0.0683,0.13584466666666667,0
2000-04-30,0.005297,-0.064,-0.0668,0.0726,0.0046,-0.0839,0.0006969999999999997,0
2000-05-31,0.019632999999999998,-0.0442,-0.0609,0.0481,0.005,-0.0898,0.014632999999999997,0
2000-06-30,-0.09242550000000001,0.0464,0.1285,-0.0843,0.004,0.166,-0.09642550000000001,0
